Overriding config with config/train_shakespeare_char_baseline.py:
# Baseline configuration
out_dir = 'out-shakespeare-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False # Changed to True for Google colab
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
#init_from = 'resume' #resume from the save checkpoint
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2653, time 81458.49ms, mfu -100.00%
iter 10: loss 3.1425, time 579.97ms, mfu 0.64%
iter 20: loss 2.7337, time 575.19ms, mfu 0.64%
iter 30: loss 2.6169, time 583.63ms, mfu 0.64%
iter 40: loss 2.5760, time 575.19ms, mfu 0.64%
iter 50: loss 2.5263, time 583.82ms, mfu 0.64%
iter 60: loss 2.5083, time 583.83ms, mfu 0.64%
iter 70: loss 2.4930, time 579.76ms, mfu 0.64%
iter 80: loss 2.4959, time 576.49ms, mfu 0.64%
iter 90: loss 2.4690, time 573.40ms, mfu 0.64%
iter 100: loss 2.4594, time 574.48ms, mfu 0.64%
iter 110: loss 2.4533, time 579.80ms, mfu 0.64%
iter 120: loss 2.4268, time 571.92ms, mfu 0.64%
iter 130: loss 2.4139, time 578.37ms, mfu 0.64%
iter 140: loss 2.4121, time 573.53ms, mfu 0.65%
iter 150: loss 2.4149, time 574.59ms, mfu 0.65%
iter 160: loss 2.3746, time 574.18ms, mfu 0.65%
iter 170: loss 2.3917, time 579.07ms, mfu 0.65%
iter 180: loss 2.3227, time 572.82ms, mfu 0.65%
iter 190: loss 2.2518, time 573.07ms, mfu 0.65%
iter 200: loss 2.2222, time 572.38ms, mfu 0.65%
iter 210: loss 2.1494, time 571.06ms, mfu 0.65%
iter 220: loss 2.1457, time 575.14ms, mfu 0.65%
iter 230: loss 2.0749, time 573.57ms, mfu 0.65%
iter 240: loss 2.0829, time 578.57ms, mfu 0.65%
step 250: train loss 1.9654, val loss 2.0719
saving checkpoint to out-shakespeare-baseline
iter 250: loss 2.0439, time 83112.93ms, mfu 0.58%
iter 260: loss 1.9807, time 572.76ms, mfu 0.59%
iter 270: loss 1.9753, time 574.35ms, mfu 0.60%
