Overriding config with config/train_shakespeare_char_model_depth_2.py:
# Baseline configuration
out_dir = 'out-shakespeare-char_model_depth_2'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'depth-2'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
/content/drive/MyDrive/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: True
step 0: train loss 4.2461, val loss 4.2432
iter 0: loss 4.2563, time 28713.15ms, mfu -100.00%
iter 10: loss 3.3129, time 189.24ms, mfu 0.66%
iter 20: loss 2.9164, time 187.23ms, mfu 0.66%
iter 30: loss 2.6756, time 190.44ms, mfu 0.66%
iter 40: loss 2.5751, time 189.80ms, mfu 0.66%
iter 50: loss 2.5360, time 189.06ms, mfu 0.66%
iter 60: loss 2.4980, time 189.26ms, mfu 0.66%
iter 70: loss 2.4908, time 188.74ms, mfu 0.66%
iter 80: loss 2.5002, time 190.59ms, mfu 0.66%
iter 90: loss 2.4844, time 188.64ms, mfu 0.66%
iter 100: loss 2.4661, time 190.56ms, mfu 0.66%
iter 110: loss 2.4627, time 189.79ms, mfu 0.66%
iter 120: loss 2.4691, time 187.95ms, mfu 0.66%
iter 130: loss 2.4268, time 186.68ms, mfu 0.66%
iter 140: loss 2.4277, time 187.87ms, mfu 0.66%
iter 150: loss 2.4333, time 187.36ms, mfu 0.66%
iter 160: loss 2.3980, time 188.92ms, mfu 0.66%
