Overriding config with config/train_shakespeare_char_small_LR.py:
# Baseline configuration
out_dir = 'out-shakespeare-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-4
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'mps' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2653, time 76289.98ms, mfu -100.00%
iter 10: loss 3.6910, time 588.25ms, mfu 0.63%
iter 20: loss 3.3250, time 585.38ms, mfu 0.63%
iter 30: loss 3.0665, time 607.78ms, mfu 0.63%
iter 40: loss 2.8726, time 610.82ms, mfu 0.63%
iter 50: loss 2.7471, time 588.07ms, mfu 0.63%
iter 60: loss 2.6754, time 586.06ms, mfu 0.63%
iter 70: loss 2.6323, time 570.40ms, mfu 0.63%
iter 80: loss 2.6173, time 564.91ms, mfu 0.64%
iter 90: loss 2.5606, time 565.40ms, mfu 0.64%
iter 100: loss 2.5488, time 566.75ms, mfu 0.64%
iter 110: loss 2.5379, time 566.90ms, mfu 0.64%
iter 120: loss 2.5204, time 565.96ms, mfu 0.64%
iter 130: loss 2.5040, time 568.32ms, mfu 0.64%
iter 140: loss 2.5067, time 566.45ms, mfu 0.65%
iter 150: loss 2.5181, time 571.75ms, mfu 0.65%
iter 160: loss 2.5015, time 579.34ms, mfu 0.65%
iter 170: loss 2.4790, time 582.35ms, mfu 0.65%
iter 180: loss 2.4889, time 579.89ms, mfu 0.65%
iter 190: loss 2.4661, time 581.45ms, mfu 0.64%
iter 200: loss 2.4617, time 573.05ms, mfu 0.65%
iter 210: loss 2.4312, time 567.66ms, mfu 0.65%
iter 220: loss 2.4668, time 571.22ms, mfu 0.65%
iter 230: loss 2.4561, time 566.72ms, mfu 0.65%
iter 240: loss 2.4614, time 564.42ms, mfu 0.65%
step 250: train loss 2.4215, val loss 2.4368
saving checkpoint to out-shakespeare-baseline
iter 250: loss 2.4417, time 88108.98ms, mfu 0.58%
iter 260: loss 2.4332, time 567.26ms, mfu 0.59%
iter 270: loss 2.4315, time 567.72ms, mfu 0.60%
iter 280: loss 2.4522, time 584.40ms, mfu 0.60%
